trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
387,False,"{'a': 0.6, 'e': 0.020858369425214716}",20,7,18.884318105280286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.6, 'e': 0.020650825181712566}",30,21,16.17788253293625,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.6, 'e': 0.020445346037937653}",20,9,21.373186737399593,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.6, 'e': 0.02024191144580439}",20,11,17.592114300663273,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.6, 'e': 0.020040501061684014}",20,0,23.02725239022425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.6, 'e': 0.019841094744370288}",25,11,11.571123887579198,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.6, 'e': 0.019643672553065292}",20,6,8.279469704368713,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.6, 'e': 0.01944821474538539}",20,8,9.576068578439791,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
395,False,"{'a': 0.6, 'e': 0.01925470177538692}",20,12,17.3082410848447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.6, 'e': 0.019063114291611637}",20,6,21.7559380426435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.6, 'e': 0.018873433135151486}",25,20,10.605568597166279,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.6, 'e': 0.018685639337732773}",30,19,22.21589168424588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.6, 'e': 0.018499714119819242}",25,18,13.080608181754872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.6, 'e': 0.01831563888873418}",20,14,7.007885785866508,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.6, 'e': 0.018133395236801075}",20,2,31.06843217253925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.6, 'e': 0.01795296493950285}",20,7,8.72225075054793,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.6, 'e': 0.01777432995365944}",20,6,24.440892835867416,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.6, 'e': 0.017597472415623393}",20,15,11.169469825687035,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.6, 'e': 0.017422374639493515}",25,7,27.465543135534695,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.6, 'e': 0.017249019115346265}",20,10,21.17176726741814,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.6, 'e': 0.017077388507484793}",30,15,-15.671978873449415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
408,False,"{'a': 0.6, 'e': 0.01690746565270528}",25,10,25.761589705370856,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.6, 'e': 0.016739233558580632}",25,10,19.25392016052221,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.6, 'e': 0.016572675401761255}",30,20,14.310927791051746,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.6, 'e': 0.016407774526292645}",25,14,21.757289411076133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.6, 'e': 0.01624451444194987}",20,0,26.200351208307847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
413,False,"{'a': 0.6, 'e': 0.016082878822588433}",20,6,27.69054692427754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.6, 'e': 0.015922851504511698}",30,18,24.037072472973257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.6, 'e': 0.015764416484854486}",20,10,19.845976166479822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.6, 'e': 0.01560755791998283}",20,6,22.822425818604213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.6, 'e': 0.015452260123909515}",20,9,18.61196469281286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.6, 'e': 0.015298507566725518}",30,20,21.44535092621231,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.6, 'e': 0.01514628487304698}",20,8,18.536640179624435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.6, 'e': 0.014995576820477703}",20,8,16.47933726002124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.6, 'e': 0.014846368338086832}",20,8,18.36032329105657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.6, 'e': 0.014698644504901784}",20,14,12.967256974525311,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.6, 'e': 0.014552390548416123}",25,7,34.645300285139456,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.6, 'e': 0.01440759184311235}",25,18,15.642052470950343,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.6, 'e': 0.014264233908999256}",20,8,18.07520346032232,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.6, 'e': 0.014122302410163962}",20,10,17.708543689377592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.6, 'e': 0.013981783153338296}",20,3,29.51377893449341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
